"";"ED_median";"ES_median"
"Ricinus_communis";74,9259372787268;86,4001378999023
"Jatropha_gossypiifolia";68,2421676120602;69,1354799499512
"Euphorbia_esula";58,2729666120602;50,5339504749756
"Triadica_sebifera";58,2729676120602;50,5339514749756
"Hypericum_perforatum";99,6525132787269;102,884520899902
"Passiflora_edulis";57,0288584453935;53,9348394749756
"Passiflora_tarminiana";57,0288584453935;53,9348394749756
"Salix_babylonica";97,1599509453935;97,0054619499512
"Quercus_rubra";105,904477290922;105,714520074951
"Casuarina_equisetifolia";105,904479290922;105,714522074951
"Rosa_rugosa";89,0926161242553;92,7056083937378
"Rubus_ulmifolius";77,9769090528267;74,4874448661448
"Rubus_niveus";77,9769070528267;74,4874428661448
"Rubus_fruticosus";88,4948715528267;85,7054247322896
"Rubus_glaucus";88,4948715528267;85,7054247322896
"Rubus_adenotrichos";88,4948715528267;85,7054247322896
"Rubus_megalococcus";88,4948715528267;85,7054247322896
"Rubus_armeniacus";88,4948715528267;85,7054247322896
"Prunus_serotina";97,4562081242553;100,408458787476
"Ziziphus_mauritiana";62,9219656242553;60,3932688937378
"Colubrina_asiatica";62,9219656242553;60,3932688937378
"Elaeagnus_angustifolia";85,7991021242553;90,9321927874756
"Sesbania_bispinosa";57,5319617798108;57,6836652062378
"Robinia_pseudoacacia";57,5319607798108;57,6836642062378
"Pueraria_montana";59,6615292798108;59,8132327062378
"Indigofera_schimperi";59,6615312798108;59,8132347062378
"Lupinus_polyphyllus";29,8369902798108;27,7336851031189
"Lupinus_perennis";29,8369842798108;27,7336791031189
"Ulex_europaeus";32,0799162798108;29,9766111031189
"Cytisus_scoparius";32,0799162798108;29,9766111031189
"Aeschynomene_brasiliana";52,4621307798108;53,0312272062378
"Aeschynomene_paniculata";52,4621337798108;53,0312302062378
"Acacia_longifolia";14,3641062576637;6,17464815254515
"Acacia_cyclops";14,3641062576637;6,17464815254515
"Acacia_melanoxylon";15,6495792576637;8,97846730509031
"Acacia_implexa";15,676009590997;12,0151606101806
"Acacia_mearnsii";15,608489090997;10,4093676101806
"Acacia_dealbata";15,608490090997;10,4093686101806
"Acacia_saligna";27,891458590997;23,9632914407225
"Vachellia_nilotica";23,7566476624256;18,3017294407225
"Vachellia_farnesiana";23,7566476624256;18,3017294407225
"Acaciella_angustissima";31,5614509402034;27,8124547628899
"Mimosa_pigra";33,4040977402034;30,0882275257797
"Prosopis_juliflora";34,3508459220216;32,5923850515594
"Leucaena_leucocephala";34,5249410886882;36,5592771031189
"Acacia_paradoxa";34,5275766271498;44,3031412062378
"Parkinsonia_aculeata";50,2477307700069;59,7880094124756
"Senna_obtusifolia";44,9543150033402;52,3486624124756
"Senna_didymobotrya";44,9543150033402;52,3486624124756
"Isatis_tinctoria";53,8069932875704;64,9321511999512
"Lepidium_draba";48,3849222875704;40,7685760999756
"Lepidium_latifolium";48,3849232875704;40,7685770999756
"Sida_acuta";51,755967454237;51,9637666999512
"Sida_rhombifolia";51,755967454237;51,9637666999512
"Schinus_terebinthifolia";85,6576634113799;95,8979128999024
"Acer_negundo";70,6379635780466;72,5521997249756
"Sapindus_saponaria";58,9661490780466;53,3949103624878
"Cardiospermum_grandiflorum";58,9661470780465;53,3949083624878
"Ailanthus_altissima";77,2419692447132;72,6456018624878
"Melia_azedarach";77,2419692447132;72,6456018624878
"Citrus_aurantium";78,4369282447132;78,4014217249756
"Miconia_calvescens";39,9196171177291;30,8322285999756
"Miconia_robinsoniana";39,9196171177291;30,8322285999756
"Clidemia_hirta";41,1068011177291;54,4583091999512
"Melaleuca_quinquenervia";57,2060331177291;69,7846776999512
"Psidium_guajava";54,3838562843958;44,4772834249878
"Syzygium_jambos";54,3838562843958;44,4772834249878
"Eucalyptus_camaldulensis";54,6328367843958;53,0790688499756
"Lythrum_salicaria";86,7919383320148;89,5218413999024
"Ludwigia_peploides";86,7919383320148;89,5218413999023
"Crassula_helmsii";101,876914443523;110,112805849219
"Myriophyllum_heterophyllum";51,7403005681894;64,2424602826094
"Myriophyllum_spicatum";49,9879525691894;39,5549404713047
"Myriophyllum_aquaticum";49,9879544101894;39,5549423123047
"Echium_simplex";27,282892107753;42,0346737249756
"Echium_vulgare";25,506341107753;13,1989929312439
"Echium_italicum";25,506341107753;13,1989929312439
"Echium_plantagineum";26,439657107753;23,4330968624878
"Heliotropium_europaeum";68,598438607753;77,9729754499512
"Salvia_aethiopis";39,6670423410864;35,1621939937439
"Plectranthus_parviflorus";39,6670473410864;35,1621989937439
"Marrubium_vulgare";44,1283733410864;44,9666549874878
"Striga_asiatica";48,134055007753;55,6529179749756
"Spathodea_campanulata";38,0800045744197;34,3713183937439
"Dolichandra_unguis-cati";38,0802861744197;34,3715999937439
"Tecoma_stans";48,6983349744197;49,6899177874878
"Lantana_montevidensis";28,158767007753;23,1541439937439
"Lantana_camara";28,158768007753;23,1541449937439
"Citharexylum_gentryi";38,330843507753;41,9142999874878
"Cinchona_pubescens";73,5407299363245;80,6614564499512
"Calotropis_procera";39,5889867696578;30,0386270562439
"Cryptostegia_grandiflora";39,5889857696578;30,0386260562439
"Nerium_oleander";39,9156807696578;38,8362041124878
"Thevetia_peruviana";45,9156889163245;55,7779477049756
"Solanum_mauritianum";23,0098868553721;21,9097776812439
"Solanum_viarum";21,0866151053721;14,6995448406219
"Solanum_elaeagnifolium";20,3886871053721;10,570982420311
"Solanum_tampicense";20,2946586053721;8,41267371015549
"Solanum_carolinense";20,2946596053721;8,41267471015549
"Solanum_seaforthianum";24,9782412553721;33,7658803624878
"Nicotiana_glauca";39,4770510887054;55,0176417249756
"Ipomoea_hederacea";42,5630118029911;44,9832042249756
"Ipomoea_lacunosa";42,5630178029911;44,9832102249756
"Chromolaena_odorata";15,9861448550356;11,6700595890617
"Mikania_micrantha";15,9861478550356;11,6700625890617
"Ageratina_adenophora";16,0541538550356;15,1352011781235
"Tithonia_diversifolia";11,1753275217022;8,52821583906174
"Helianthus_ciliaris";11,1753285217022;8,52821683906174
"Ambrosia_artemisiifolia";10,4255470217022;4,78063570976543
"Ambrosia_trifida";10,4255460217022;4,78063470976543
"Xanthium_strumarium";12,0411880217022;7,66952641953087
"Parthenium_hysterophorus";12,5967060217022;10,2160258390617
"Bidens_pilosa";22,7016684105911;26,1636087124939
"Baccharis_halimifolia";23,8694475796388;21,2174968031235
"Artemisia_annua";15,3109720796388;11,5218144015617
"Artemisia_vulgaris";15,3109730796388;11,5218154015617
"Chrysanthemoides_monilifera";24,0239402463054;23,4919086062469
"Senecio_madagascariensis";12,6098981629721;8,71153630312348
"Senecio_inaequidens";12,6098981629721;8,71153630312348
"Jacobaea_vulgaris";16,0670931629721;17,3821526062469
"Chondrilla_juncea";26,7589934360813;26,5823274624939
"Pilosella_officinarum";26,7589924360813;26,5823264624939
"Arctotheca_calendula";32,3874459360813;36,5901929249878
"Centaurea_diffusa";8,08541107326082;3,32616608437347
"Centaurea_maculosa";8,08541107326082;3,32616608437347
"Centaurea_stoebe";8,08827207326082;6,63949416874695
"Centaurea_calcitrapa";10,5233522399275;8,18596416874695
"Centaurea_solstitialis";10,5233512399275;8,18596316874695
"Carthamus_lanatus";12,3739543399275;21,1706356749878
"Cirsium_arvense";9,02629574468939;4,90380758437347
"Cirsium_vulgare";9,02629574468939;4,90380758437347
"Silybum_marianum";10,2423612446894;8,71664516874695
"Carduus_tenuiflorus";8,39935057802272;4,14141333437347
"Carduus_pycnocephalus";8,39935057802272;4,14141333437347
"Carduus_nutans";9,15877057802272;7,90395266874695
"Onopordum_acanthium";15,5279777446894;23,0919516749878
"Nymphoides_peltata";70,6675435042632;85,7676443999024
"Lonicera_japonica";88,9082291983808;94,4535538999023
"Heracleum_mantegazzianum";40,4414280317141;35,2267042374878
"Heracleum_sosnowskyi";40,4414280317141;35,2267042374878
"Hydrocotyle_ranunculoides";70,0836410317141;69,5496864749756
"Pittosporum_tobira";72,2043296983808;78,9112249499512
"Rhododendron_ponticum";113,574430399437;118,861899199219
"Carpobrotus_edulis";89,6835875008859;92,4946034248047
"Cylindropuntia_rosea";33,2045240008859;22,1166135708008
"Cylindropuntia_imbricata";33,2045230008859;22,1166125708008
"Opuntia_stricta";36,1371120008859;38,5382821416016
"Opuntia_aurantiaca";36,1371210008859;38,5382911416016
"Alternanthera_philoxeroides";93,5997175008859;102,033782849609
"Tamarix_aphylla";100,403132500886;104,736256349609
"Fallopia_aubertii";67,0688260008859;65,6615871748047
"Rumex_lunaria";67,0686280008859;65,6613891748047
"Hakea_sericea";131,356496752235;138,04776959375
"Argemone_mexicana";120,208326235896;129,35424909375
"Clematis_vitalba";83,1487132358955;84,086547546875
"Ranunculus_acris";83,1487132358955;84,086547546875
"Eichhornia_crassipes";109,024092712235;115,154779585938
"Sporobolus_alterniflorus";31,6667747900131;31,1896712866211
"Cortaderia_selloana";31,6667747900131;31,1896712866211
"Phragmites_australis";29,7774312900131;29,3003277866211
"Arundo_donax";29,7774322900131;29,3003287866211
"Panicum_repens";22,4643646081949;19,7947857683105
"Urochloa_decumbens";17,4162294415283;9,91568719207764
"Urochloa_mutica";17,4162284415283;9,91568619207764
"Megathyrsus_maximus";17,4201049415283;13,2113033841553
"Cenchrus_pilosus";14,6536713581949;6,58564306707764
"Cenchrus_ciliaris";14,6536713581949;6,58564306707764
"Cenchrus_polystachios";14,9243928581949;9,80638913415527
"Setaria_pumila";16,3318438581949;15,7064392683105
"Andropogon_gayanus";21,0420684415283;17,4387360183105
"Imperata_cylindrica";21,0420624415283;17,4387300183105
"Hymenachne_amplexicaulis";27,7723789415283;28,1757670366211
"Bromus_tectorum";35,1618136566798;50,6515011464844
"Nassella_trichotoma";23,7642586566798;25,8531585732422
"Nassella_neesiana";23,7642586566798;25,8531585732422
"Agave_sisalana";49,8592678964459;45,5667365429688
"Agave_americana";49,8592678964459;45,5667365429688
"Asparagus_asparagoides";79,1961913964459;91,1276140859375
"Dioscorea_bulbifera";121,413218669173;132,55062434375
"Elodea_nuttallii";33,3080811069578;16,9338398652344
"Elodea_canadensis";33,3080811069578;16,9338398652344
"Egeria_densa";35,8563206069578;32,9923317304687
"Lagarosiphon_major";51,2125809402911;60,0128374609375
"Hydrilla_verticillata";63,1657776902911;91,019456921875
"Colocasia_esculenta";112,408283790291;115,086700421875
"Pistia_stratiotes";112,408283790291;115,086700421875
"Persea_americana";134,562612001197;158,177283375
"Aristolochia_elegans";69,9091140011974;80,6322916875
"Aristolochia_odoratissima";69,9091130011974;80,6322906875
"Cabomba_caroliniana";139,944936773684;232,0080455
"Pseudotsuga_menziesii";96,0480598;181,9237915
"Pinus_pinaster";75,11767305;96,40709025
"Pinus_radiata";70,2184113833333;49,974294125
"Pinus_taeda";69,2362368833333;25,7757210625
"Pinus_elliottii";69,2362378833333;25,7757220625
